parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
kp1	log10	0.002	0.008	0.004	1
kp5	log10	0.0269	0.1076	0.0538	1
k2	log10	0.85	3.4	1.7	1
kp2	log10	0.00625	0.025	0.0125	1
k3	log10	0.14	0.56	0.28	1
k5	log10	0.25	1	0.5	1
kp3	log10	0.0036	0.0144	0.0072	1
k6	log10	0.115	0.46	0.23	1
kp4	log10	0.03	0.12	0.06	1
k11	log10	0.045	0.18	0.09	1
k_11	log10	0.0055	0.022	0.011	1
kr1a	log10	0.0075	0.03	0.015	1
kr2a	log10	0.0075	0.03	0.015	1
k12	log10	0.0525	0.21	0.105	1
k_12	log10	0.0055	0.022	0.011	1
kr1b	log10	0.0075	0.03	0.015	1
kr2b	log10	0.0075	0.03	0.015	1
k_13	log10	0.0215	0.086	0.043	1
kr1c	log10	0.0075	0.03	0.015	1
kr2c	log10	0.0075	0.03	0.015	1
k14	log10	0.09	0.36	0.18	1
k15	log10	0.0082	0.0328	0.0164	1
